name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
"Rossidi Orange, spice taster",Rossidi Winery,2019,13.5,750.0,239.0,Bulgaria,Thrace,,White wine,Full-bodied & Tasty,Served at 10-12 ° C with light meat dishes.,"Fruity, floral, nuanced taste with a little roughness, hints of lychee, orange, roses, red apples, cinnamon and cloves.",0.0%,8.333333333333332%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/rossidi-orange-9061401,https://product-cdn.systembolaget.se/productimages/24460785/24460785,Spice traminer
"Franschhoek Cellar Reserve, Chardonnay",DGB,2019,13.5,750.0,159.0,South Africa,Western Cape,Coastal Region,White wine,Full-bodied & Tasty,"Served at 10-12 ° C for tasty dishes of fish, for light meat or for dishes of lamb.","Fruity, nuanced taste with barrel character, hints of yellow apples, minerals, nectarine, cardamom, butter and orange.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/franschhoek-cellar-reserve-248901,https://product-cdn.systembolaget.se/productimages/24304694/24304694,Chardonnay
Dom Rafael,Herdade do Mouchão,2017,14.5,750.0,119.0,Portugal,Alentejo,,Red wine,Fruity & Tasty,Served at about 18 ° C with grilled dishes of dark meat.,"Fruity, nuanced taste with barrel character, hints of plums, bay leaves, cocoa, black currants, black pepper and lavender.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/dom-rafael-222901,https://product-cdn.systembolaget.se/productimages/20465558/20465558,Castelão --- Alicante bouschet --- Trincadeira --- Aragones
"Gosset, Grand Rosé Brut",Gosset,,12.0,750.0,529.0,France,Champagne,,Sparkling wine,Rosé,"Served at 8-10 ° C as an aperitif or with tasty fish dishes, or light meat.","Nuanced, berry, very fresh taste with hints of strawberries, red currants, biscuits, nuts and blood grapefruit.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/gosset-740501,https://product-cdn.systembolaget.se/productimages/241536/241536,Chardonnay --- Pinot noir
"Roberto Henriquez, Santa Cruz de Coya",Roberto Henriquez,2019,12.0,750.0,189.0,Chile,Southern Region,Valle del Bío-Bío,Red wine,Soft & Berry,"Served at about 16 ° C with light meat dishes, preferably cold-cut.","Berry, spicy, nuanced taste with hints of strawberries, red currants, raspberries, fresh herbs and cherries.",0.0%,0.0%,83.33333333333334%,41.6666666666666767%,41.6666666666666767%,https://www.systembolaget.se/produkt/vin/roberto-henriquez-9113601,https://sb-product-media-prod.azureedge.net/productimages/24462459/24462459,Country
"Astria, Cabernet Sauvignon",Domaines Pierre Chavin,,5.5,750.0,59.0,France,,,Red - lower alcohol content,Fruity & Tasty,Served at about 16 ° C with dishes of pork or lamb or as a companion drink.,"Very fruity taste with hints of black currants, strawberries, herbs and sweet licorice.",0.0%,0.0%,66.666666666666666%,50.0%,41.6666666666666767%,https://www.systembolaget.se/produkt/vin/astria-661001,https://product-cdn.systembolaget.se/productimages/748506/748506,Cabernet sauvignon
"Longitude Premier Cru Blanc de blancs, Extra brut",Larmandier-Bernier,,12.5,750.0,495.0,France,Champagne,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Nuanced, fruity, very fresh taste with hints of yellow apples, minerals, white chocolate, peach, nuts and orange.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/longitude-premier-cru-blanc-de-blancs-9740501,https://sb-product-media-prod.azureedge.net/productimages/24462403/24462403,Chardonnay
"Fontanafredda Le Fronde, Moscato d'Asti",Fontanafredda,2019,5.0,750.0,119.0,Italy,Piedmont,Moscato d'Asti,White wine,Sweet,Served at 8-10 ° C with fruit and berry desserts.,"Floral, fruity, sweet taste with hints of pear, honeydew melon, elderberry, pineapple, cinnamon and apples.",0.0%,75.0%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/fontanafredda-le-fronde-9038601,https://product-cdn.systembolaget.se/productimages/24524208/24524208,Moscato
Skepparps Grand Prix,Skepparps Vingård,2019,12.5,750.0,298.0,Sweden,,,Sparkling wine,,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Fruity, very fresh taste with hints of green apples, biscuits, gooseberries, blackcurrant leaves, herbs and lemon.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/skepparps-grand-prix-9260201,https://product-cdn.systembolaget.se/productimages/24526833/24526833,
"Tiago Teles, RAIZ",Tiago Teles,2017,14.0,750.0,189.0,Portugal,Bairrada,,Red wine,Fruity & Tasty,"Served at about 16 ° C with pork or lamb dishes, or vegetarian dishes.","Fruity, spicy, nuanced taste with hints of cask, plum, lavender, cherry, chocolate, black olives, raspberries, nougat and bay leaves.",0.0%,0.0%,83.33333333333334%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/tiago-teles-9112501,https://product-cdn.systembolaget.se/productimages/24489417/24489417,Alfrocheiro --- Bical
"Zenato, Merlot",Zenato,2016,13.5,750.0,149.0,Italy,Veneto,Garda,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb and beef dishes.,"Fruity, slightly developed taste with barrel character, hints of plums, dark cherries, chocolate, tobacco and vanilla.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/zenato-3222401,https://product-cdn.systembolaget.se/productimages/40738/40738,Merlot
"Viña Ardanza Reserva Selección Especial, La Rioja Alta SA",La Rioja Alta,2010,13.5,750.0,269.0,Spain,Rioja,,Red wine,Spicy & Musty,Served at 16-18 ° C with dark meat dishes.,"Nuanced, spicy, developed taste with barrel character, hints of dried plums, cocoa, hazelnuts, tobacco, cedar, black pepper and vanilla.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/viña-ardanza-reserva-selección-especial-9500801,https://sb-product-media-prod.azureedge.net/productimages/24450473/24450473,Tempranillo --- Grenache
"WG Organic, Grüner Veltliner",Domain Baumgartner,2019,12.0,2000.0,216.0,Austria,Lower Austria,,White wine,Fresh & Fruity,Served at 8-10 ° C with fish or light meat dishes.,"Fruity, youthful taste with hints of pear, white pepper, honeydew melon, herbs and citrus peel.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/wg-organic-294507,https://product-cdn.systembolaget.se/productimages/980818/980818,Green roller liner
"Wynns Black Label, Cabernet Sauvignon",Wynns Coonawarra Estate,2018,13.7,750.0,229.0,Australia,South Australia,Limestone Coast,Red wine,Fruity & Tasty,Served at 16-18 ° C with grilled dishes of lamb and beef.,"Nuanced, very fruity taste with barrel character, hints of black currants, mint, plums, cedar, dark cherries, coffee and chocolate.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/wynns-black-label-9044901,https://sb-product-media-prod.azureedge.net/productimages/24514022/24514022,Cabernet sauvignon
"Segura Viudas, Brut Rosado",Segura Viudas,,12.0,375.0,63.0,Spain,Cava,,Sparkling wine,Rosé,"Served at 8-10 ° C as a companion drink, for salads or for dishes of chicken.","Fruity taste with hints of ripe strawberries, biscuits and blood orange.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/segura-viudas-777902,https://product-cdn.systembolaget.se/productimages/429927/429927,Trepat --- Garnacha
"Ayala, Blanc de Blancs",Ayala,2014,12.0,750.0,639.0,France,Champagne,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, or with dishes of seafood, fish or light meat.","Complex, slightly developed, very fresh taste with hints of yellow apples, French nougat, minerals, toast and citrus.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/ayala-9253901,https://sb-product-media-prod.azureedge.net/productimages/24490527/24490527,Chardonnay
"Sandhi Central Coast Chardonnay, Sandhi Wines",Sandhi Wines,2019,13.0,750.0,239.0,USA,California,Central Coast,White wine,Full-bodied & Tasty,Served at 10-12 ° C with fish or light meat dishes.,"Nuanced, fruity taste with barrel character, hints of yellow apples, pineapple, French nougat, orange, cardamom, butter and vanilla.",0.0%,8.333333333333332%,75.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/sandhi-central-coast-chardonnay-9512001,https://sb-product-media-prod.azureedge.net/productimages/24453556/24453556,Chardonnay
"Ruinart, Blanc de Blancs",Ruinart,,12.5,750.0,699.0,France,Champagne,,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Nuanced, fruity, noticeably fresh taste with hints of green apples, lemon, light bread, macadamia nuts and herbs.",0.0%,8.333333333333332%,91.6666666666666666%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/ruinart-8829101,https://product-cdn.systembolaget.se/productimages/184651/184651,Chardonnay
Chateau Musar,Chateau Musar,2013,14.0,1500.0,779.0,Lebanon,Bekaa,,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb or beef dishes.,"Developed, spicy taste with barrel character, hints of dried cherries, tobacco, currants, cloves, cocoa, oranges and nuts.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/chateau-musar-8904906,https://product-cdn.systembolaget.se/productimages/53621/53621,
Migrant Council,Migrants,2015,14.0,750.0,185.0,Italy,Latium,Cesanese by Olevano Romano,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb and beef dishes.,"Nuanced, developed taste with hints of cherries, cinnamon, black olives, dried strawberries, black tea, pepper and orange.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/consilium-migrante-9233001,https://sb-product-media-prod.azureedge.net/productimages/24450788/24450788,Cesanese
Luddite Saboteur,Luddite Wines,2019,12.5,750.0,209.0,South Africa,Western Cape,Cape South Coast,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/luddite-saboteur-9123701,https://product-cdn.systembolaget.se/productimages/24463378/24463378,Chenin blanc --- Sauvignon blanc --- Viognier
"Figli Luigi Oddero, Barolo",Vigneti Luigi Oddero & Figli SSA,2016,14.5,750.0,349.0,Italy,Piedmont,Barolo,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Complex, spicy taste with barrel character, hints of cherries, roses, sandalwood, raspberries, nougat, orange, black tea and cinnamon.",0.0%,0.0%,83.33333333333334%,75.0%,91.6666666666666666%,https://www.systembolaget.se/produkt/vin/figli-luigi-oddero-9234401,https://product-cdn.systembolaget.se/productimages/24478238/24478238,Nebbiolo
"Good Vista, Carneros Chardonnay",Good Vista Winery,2018,14.5,750.0,199.0,USA,California,North Coast,White wine,Full-bodied & Tasty,Served at 10-12 ° C with tasty fish dishes or light meat or lamb.,"Nuanced, fruity taste with a clear roasted barrel character, hints of yellow pears, browned butter, mango, cardamom, orange, nuts and vanilla.",0.0%,8.333333333333332%,75.0%,66.666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/buena-vista-624001,https://product-cdn.systembolaget.se/productimages/848734/848734,Chardonnay
"Project Sparkling Chenin Blanc, Voyager Estate",Voyager Estate,2019,13.0,750.0,179.0,Australia,Western Australia,South West Australia,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif or with fish or seafood dishes, or with salads.","Nuanced, aromatic, very fresh taste with hints of green apples, gooseberries, light bread, grapefruit, minerals and citrus flowers.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/project-sparkling-chenin-blanc-9555401,https://sb-product-media-prod.azureedge.net/productimages/24446419/24446419,Chenin blanc
Roda I,Bodegas Roda,2015,14.5,750.0,459.0,Spain,Rioja,,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Complex, spicy, fruity taste with a clear barrel character, hints of dark cherries, cocoa, figs, tobacco, plums, cinnamon and vanilla.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/roda-i-9112201,https://sb-product-media-prod.azureedge.net/productimages/24460927/24460927,Tempranillo --- Graciano
Basement tearing cabinet,Keller,2018,9.0,750.0,214.0,Germany,Rheinhessen,,White wine,Fresh & Fruity,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Fruity, yet young, noticeably fresh taste with sweetness, hints of pear, jasmine flowers, honey, minerals, white currants and lime.",0.0%,41.6666666666666767%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/keller-scheurebe-kabinett-9507701,https://sb-product-media-prod.azureedge.net/productimages/24451033/24451033,Scheurebe
"Ohh, Paul Sapin Sauvignon Blanc",Paul Sapin,,12.5,187.0,25.0,France,Languedoc-Roussillon,Pays d'Oc,White wine,Fresh & Fruity,Served at about 8 ° C with seafood dishes.,"Slightly aromatic, very fresh taste with hints of pear, nettle and gooseberry.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/ohh-7098104,https://product-cdn.systembolaget.se/productimages/887862/887862,White Sauvignon
"Vallado, Prima",Quinta do Vallado,2019,12.5,750.0,149.0,Portugal,Douro,,White wine,Grape & Floral,"Served at 8-10 ° C with seafood dishes, preferably with Asian elements.","Floral, fruity taste with hints of pear, elderberry, honeydew melon, green kiwi, roses and lime.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/vallado-9232801,https://product-cdn.systembolaget.se/productimages/19710123/19710123,Moscatel galego branco
"Cono Sur, Bicycle Reserve Pinot Noir Rosé",Viña Cono Sur,2019,13.0,2000.0,199.0,Chile,Southern Region,Valle del Bío-Bío,Rose wine,Fresh & Berry,"Served at 8-10 ° C with fish dishes, or with salads or chicken.","Berry, youthful taste with hints of strawberries, herbs, red currants, raspberries and blood oranges.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/cono-sur-466407,https://product-cdn.systembolaget.se/productimages/16731148/16731148,Pinot noir
"Lat 42, Reserve",La Rioja Alta,2014,14.0,750.0,99.0,Spain,Rioja,,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb and beef dishes.,"Developed, spicy taste with barrel character, hints of ripe strawberries, chocolate, dill, currants, nuts and oranges.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/lat-42-204301,https://sb-product-media-prod.azureedge.net/productimages/24488012/24488012,Tempranillo
"Marin, Bianco",Fontanafredda,2016,13.5,750.0,129.0,Italy,Piedmont,Langhe,White wine,Fresh & Fruity,Served at 8-10 ° C with tasty fish dishes or light meat dishes.,"Nuanced, very fresh taste with hints of yellow apples, galia melon, lemon peel, thyme, honey and smoky mineral.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/marin-228701,https://product-cdn.systembolaget.se/productimages/982188/982188,Riesling --- Nascetta
"Los Patricios, Chardonnay",Pandolfi Price,2016,14.5,750.0,249.0,Chile,Southern Region,Valle del Itata,White wine,Full-bodied & Tasty,"Served at 10-12 ° C with light meat dishes, tasty fish dishes, or lamb.","Nuanced, slightly developed, very fresh taste with a clear barrel character, hints of red apples, walnuts, apricot, browned butter, orange, pineapple and cardamom.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/los-patricios-9203601,https://product-cdn.systembolaget.se/productimages/24468936/24468936,Chardonnay
Mandolas,Tokaj Oremus,2018,13.5,750.0,189.0,Hungary,Tokaj,,White wine,Full-bodied & Tasty,Served at 8-10 ° C with fish or light meat dishes.,"Nuanced, fruity, very fresh taste with barrel character, hints of green apples, spices, pears, honeydew melon, lemon and vanilla.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/mandolas-9057801,https://product-cdn.systembolaget.se/productimages/24483281/24483281,Furmint
"Le Difese, Tenuta San Guido",Tenuta San Guido,2018,14.0,750.0,199.0,Italy,Tuscany,,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Nuanced taste with barrel character, hints of black currants, dark chocolate, thyme, dark cherries, cedar and orange.",0.0%,0.0%,83.33333333333334%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/le-difese-9255801,https://product-cdn.systembolaget.se/productimages/24490528/24490528,Cabernet sauvignon --- Sangiovese
"1701 Franciacorta Brut, 1701 srl - Societa Agricola",1701 srl - Societa Agricola,,12.5,750.0,299.0,Italy,Lombardy,Franciacorta,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or for lighter dishes of seafood.,"Fruity, nuanced taste with hints of green apples, biscuits, pears, almond blossoms and lime.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/1701-franciacorta-brut-9509401,https://product-cdn.systembolaget.se/productimages/24525482/24525482,
